,count,lat,lon
305,338,33.8001788,-116.3852549
306,336,43.4907259,-83.9692413
307,332,41.4041873,-82.6559043
308,330,43.0364181,-85.6951145
309,330,42.7259406,-71.4277495
310,330,28.9791226,-98.428005
311,328,46.8095148,-92.1768916
312,328,43.2014022,-86.1976898
313,326,42.807169,-86.0875614
314,326,41.9725246,-73.9848935
315,326,39.140495,-88.5607129
316,324,42.893039,-76.9870377
317,322,47.930104,-97.0298865
318,322,40.7821618,-82.5883991
319,320,39.0929467,-84.2650562
320,318,45.5351436,-122.8528333
321,314,28.8426197,-81.8984091
322,312,37.2387929,-81.2490267
323,310,32.9449775,-85.9677784
324,304,29.3405006,-100.9354363
325,298,40.6269423,-103.2375803
326,298,37.6151553,-84.7719402
327,294,43.1015539,-70.8099854
328,284,31.3911102,-109.5737772
329,281,31.8545471,-89.7272128
330,280,42.7647046,-84.51972
331,280,35.6157357,-91.2547269
332,278,37.2393501,-96.9468033
